               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              1.5179,              1.8505,              2.0394,             0.85258,             0.71366,             0.80982,             0.47173,                   0,                   0,                   0,           0.0080304,           0.0080304,           0.0080304
                  40,              1.4995,              1.8152,              2.0248,             0.85545,             0.77768,             0.83864,             0.48169,                   0,                   0,                   0,           0.0079785,           0.0079785,           0.0079785
                  41,              1.5022,              1.8032,              2.0245,             0.76324,             0.79649,              0.7916,             0.49474,                   0,                   0,                   0,           0.0079267,           0.0079267,           0.0079267
                  42,               1.511,              1.8006,              2.0273,             0.83733,             0.77813,             0.84047,             0.52884,                   0,                   0,                   0,           0.0078749,           0.0078749,           0.0078749
                  43,              1.4927,               1.762,              2.0135,             0.81787,             0.75429,             0.81412,              0.4998,                   0,                   0,                   0,            0.007823,            0.007823,            0.007823
                  44,               1.484,              1.7442,              2.0095,             0.80214,              0.8116,             0.84389,             0.51352,                   0,                   0,                   0,           0.0077712,           0.0077712,           0.0077712
                  45,              1.4675,              1.7198,              1.9944,              0.7823,             0.80758,             0.82661,             0.51967,                   0,                   0,                   0,           0.0077194,           0.0077194,           0.0077194
                  46,              1.4682,                1.71,              1.9868,             0.88402,             0.73486,             0.84093,             0.51337,                   0,                   0,                   0,           0.0076675,           0.0076675,           0.0076675
                  47,                1.45,              1.6849,              1.9815,             0.81961,             0.79716,             0.84132,             0.53068,                   0,                   0,                   0,           0.0076157,           0.0076157,           0.0076157
                  48,              1.4322,              1.7114,              1.9713,             0.89452,             0.77774,             0.86215,             0.53718,                   0,                   0,                   0,           0.0075639,           0.0075639,           0.0075639
                  49,              1.4319,              1.6575,              1.9605,             0.87278,             0.77462,             0.85712,             0.52234,                   0,                   0,                   0,            0.007512,            0.007512,            0.007512
                  50,              1.4439,               1.668,              1.9696,             0.82415,             0.78485,             0.82854,              0.5279,                   0,                   0,                   0,           0.0074602,           0.0074602,           0.0074602
                  51,              1.4205,              1.5969,               1.949,             0.80064,             0.82403,             0.86188,             0.54157,                   0,                   0,                   0,           0.0074084,           0.0074084,           0.0074084
                  52,              1.4257,               1.614,              1.9594,             0.78523,             0.83114,             0.85468,             0.53455,                   0,                   0,                   0,           0.0073565,           0.0073565,           0.0073565
                  53,              1.4175,              1.5984,              1.9535,             0.83806,             0.81258,              0.8543,             0.55161,                   0,                   0,                   0,           0.0073047,           0.0073047,           0.0073047
                  54,              1.4011,              1.5858,              1.9337,             0.80495,              0.8243,             0.85039,             0.52359,                   0,                   0,                   0,           0.0072529,           0.0072529,           0.0072529
                  55,              1.3942,               1.546,              1.9316,             0.86212,             0.79301,             0.85003,             0.51768,                   0,                   0,                   0,            0.007201,            0.007201,            0.007201
                  56,              1.3943,              1.5456,              1.9219,             0.83925,             0.80969,              0.8578,             0.51129,                   0,                   0,                   0,           0.0071492,           0.0071492,           0.0071492
                  57,              1.3957,              1.5342,              1.9333,             0.86321,             0.76338,             0.83948,             0.53758,                   0,                   0,                   0,           0.0070974,           0.0070974,           0.0070974
                  58,              1.3984,              1.5745,              1.9265,             0.85021,             0.80162,              0.8344,             0.50695,                   0,                   0,                   0,           0.0070455,           0.0070455,           0.0070455
                  59,              1.3669,              1.4878,              1.8968,             0.76703,             0.82222,             0.83063,             0.51483,                   0,                   0,                   0,           0.0069937,           0.0069937,           0.0069937
                  60,              1.3537,              1.4874,              1.8983,             0.86775,             0.78822,             0.87202,             0.53652,                   0,                   0,                   0,           0.0069419,           0.0069419,           0.0069419
                  61,              1.3751,              1.5267,              1.9147,             0.85829,             0.79772,             0.85129,             0.54264,                   0,                   0,                   0,           0.0068901,           0.0068901,           0.0068901
