               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              1.7311,              2.4379,              2.1758,             0.81219,             0.54103,             0.65999,             0.49562,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  40,               1.701,              2.3877,              2.1616,             0.71567,             0.63559,             0.63744,              0.4047,                   0,                   0,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,               1.741,              2.3806,              2.1883,             0.85727,              0.5375,             0.61491,             0.46029,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  42,              1.6813,              2.3494,              2.1657,             0.72164,             0.61964,             0.64945,             0.43538,                   0,                   0,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,              1.6826,              2.2554,                2.14,             0.71415,             0.58538,             0.64004,             0.39091,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  44,              1.6866,              2.2601,              2.1598,             0.82951,             0.58056,             0.68838,             0.44819,                   0,                   0,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,              1.6553,              2.2272,              2.1143,             0.87924,              0.5603,             0.67659,             0.46238,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  46,              1.6951,               2.223,              2.1608,             0.81273,             0.58287,             0.68113,             0.46118,                   0,                   0,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,              1.7081,              2.2545,              2.1522,             0.88781,             0.59605,             0.70029,             0.48169,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  48,              1.6789,              2.1864,              2.1132,             0.83349,             0.69794,             0.72633,             0.49692,                   0,                   0,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,               1.655,              2.1824,              2.1111,              0.6142,             0.65877,              0.6919,             0.44425,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  50,              1.6386,              2.1788,              2.0993,             0.88581,             0.66656,             0.74572,             0.51735,                   0,                   0,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,              1.6729,              2.1974,              2.1512,             0.85494,             0.62553,             0.71484,              0.5026,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
