                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2099,                 1.3654,                 1.5666,                0.74585,                0.69461,                0.74093,                0.48813,                 1.3209,                 1.1938,                 1.7307,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.2349,                  1.354,                 1.5789,                0.82146,                 0.6497,                0.76991,                0.51936,                 1.2722,                 1.1528,                  1.716,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.2017,                 1.3201,                 1.5623,                0.79487,                0.71257,                0.76126,                 0.5028,                 1.3098,                 1.1593,                 1.7314,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.1997,                 1.3243,                 1.5605,                0.81071,                0.67963,                0.77756,                0.52663,                 1.2675,                 1.1146,                 1.7043,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.2091,                 1.3344,                 1.5651,                0.78685,                0.70958,                 0.7754,                0.53287,                 1.2573,                 1.1177,                 1.6957,              0.0016337,              0.0016337,              0.0016337
                     39,                  1.188,                 1.3203,                 1.5478,                0.81828,                 0.6876,                0.78491,                0.51644,                 1.2999,                 1.1074,                 1.7013,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.1975,                 1.3176,                 1.5449,                0.82193,                 0.6497,                0.77292,                0.53574,                 1.2452,                 1.0884,                 1.6765,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.1844,                 1.2898,                 1.5433,                0.75671,                0.69162,                0.75542,                0.51375,                 1.2474,                   1.12,                 1.6509,               0.001604,               0.001604,               0.001604
                     42,                 1.1857,                 1.3054,                 1.5426,                 0.8264,                0.74251,                0.80402,                0.54463,                 1.2701,                 1.0605,                 1.6665,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.1887,                 1.2972,                 1.5404,                0.81844,                0.64781,                0.76191,                0.50314,                 1.3087,                 1.1451,                 1.7486,              0.0015842,              0.0015842,              0.0015842
                     44,                  1.148,                 1.2453,                 1.5137,                0.87883,                0.67319,                0.80093,                0.54757,                 1.2433,                 1.0633,                 1.6419,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.1471,                  1.222,                  1.505,                0.87179,                0.65269,                0.78868,                0.55208,                 1.2053,                 1.0605,                 1.6162,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.1527,                 1.2457,                 1.5133,                0.88682,                0.67665,                0.78523,                0.53136,                 1.2314,                  1.074,                 1.6353,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.1542,                 1.2508,                 1.5195,                0.88424,                0.66321,                0.79301,                0.53073,                 1.2555,                 1.0807,                 1.6859,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.1703,                 1.2757,                 1.5284,                0.83246,                0.71405,                0.81566,                0.55115,                 1.2233,                 1.0394,                 1.6275,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.1358,                 1.1889,                  1.491,                0.85637,                 0.6976,                0.79962,                0.55059,                 1.2314,                 1.0334,                 1.6341,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.1282,                 1.2144,                 1.4925,                0.82794,                0.69162,                0.78752,                0.54288,                 1.2563,                 1.0958,                 1.6697,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.1412,                 1.2215,                 1.4967,                0.86071,                0.64371,                0.77862,                0.54661,                 1.2081,                 1.0919,                 1.6468,               0.001505,               0.001505,               0.001505
                     52,                 1.1155,                 1.1854,                 1.4941,                0.84179,                0.71685,                0.79916,                0.55178,                 1.2157,                 1.0337,                 1.6296,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.1281,                 1.1849,                 1.4963,                0.85371,                0.69889,                0.81024,                0.55142,                 1.2495,                 1.0135,                 1.6458,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.1116,                  1.161,                 1.4755,                0.82178,                0.74251,                0.80667,                0.54687,                 1.2363,                 1.0034,                 1.6588,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.1191,                 1.2011,                   1.49,                0.88798,                0.69461,                 0.8141,                0.56113,                 1.1916,                0.99284,                 1.6078,              0.0014654,              0.0014654,              0.0014654
                     56,                  1.101,                 1.1543,                 1.4656,                0.87409,                0.71856,                0.81061,                0.56359,                 1.2365,                0.99832,                 1.6181,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.0935,                 1.1298,                 1.4664,                0.82122,                0.75641,                0.82306,                0.57532,                 1.2038,                 1.0014,                 1.6064,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.0931,                 1.1293,                 1.4616,                 0.8185,                0.73653,                0.81636,                0.56581,                 1.2207,                 0.9901,                 1.6407,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.0875,                 1.1158,                 1.4533,                0.89202,                0.69162,                0.82813,                0.57186,                 1.1804,                0.96866,                 1.5799,              0.0014258,              0.0014258,              0.0014258
                     60,                  1.107,                  1.152,                 1.4714,                0.88832,                0.73952,                0.83353,                0.58744,                 1.1905,                0.92541,                 1.6104,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.0947,                 1.1142,                 1.4723,                  0.834,                0.72203,                0.80522,                0.55227,                  1.203,                 1.0099,                 1.6033,               0.001406,               0.001406,               0.001406
                     62,                 1.0978,                 1.1121,                 1.4589,                0.87878,                0.71625,                0.81906,                0.56034,                 1.1771,                0.97974,                 1.5979,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.0752,                 1.1217,                 1.4479,                0.87267,                 0.6977,                0.81113,                0.57134,                 1.1759,                 1.0221,                  1.577,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.0646,                 1.0968,                 1.4413,                 0.8258,                 0.7485,                0.82105,                0.58085,                 1.1648,                0.99316,                 1.5561,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.0458,                 1.0716,                  1.422,                0.85012,                0.76048,                0.82594,                 0.5748,                 1.1473,                 0.9659,                 1.5506,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.0547,                 1.0752,                 1.4371,                0.90913,                0.71893,                0.81895,                0.57282,                 1.1671,                0.94447,                 1.5917,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.0599,                 1.0858,                 1.4373,                0.85298,                0.73054,                0.81603,                0.56343,                 1.1926,                0.97233,                 1.6129,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.0436,                 1.0508,                 1.4243,                0.82363,                0.78144,                0.84604,                0.59332,                 1.1692,                0.91544,                 1.5828,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.0717,                 1.0699,                 1.4353,                0.86715,                0.71557,                0.81481,                0.58403,                  1.157,                0.95603,                 1.5754,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.0532,                  1.067,                 1.4212,                0.90293,                0.72407,                0.83169,                0.58787,                 1.1635,                0.89859,                 1.5873,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.0234,                 1.0234,                  1.406,                0.86223,                0.71202,                0.81715,                0.56891,                 1.1954,                0.98367,                 1.6135,               0.001307,               0.001307,               0.001307
                     72,                 1.0525,                 1.0633,                 1.4332,                0.84933,                 0.7515,                0.83567,                0.59304,                 1.1536,                0.91157,                 1.5768,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.0249,                 1.0354,                 1.4125,                0.87225,                0.76946,                0.83149,                0.59963,                 1.1527,                0.89324,                 1.5718,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.0355,                 1.0244,                 1.4091,                0.87746,                0.70751,                0.82354,                0.58166,                 1.1463,                 0.9277,                 1.5701,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.0344,                 1.0485,                 1.4064,                0.84971,                0.75749,                0.84359,                 0.5975,                 1.1306,                0.90865,                  1.535,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.0384,                 1.0319,                 1.4167,                0.90851,                0.71354,                0.84212,                 0.5995,                 1.1352,                0.87011,                 1.5828,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.0402,                 1.0194,                 1.4192,                0.88817,                0.71338,                0.82297,                0.58392,                 1.1753,                 0.9292,                 1.5854,              0.0012476,              0.0012476,              0.0012476
                     78,                  1.038,                 1.0432,                 1.4228,                0.85657,                0.75749,                0.83816,                0.58925,                 1.1296,                0.91174,                 1.5407,              0.0012377,              0.0012377,              0.0012377
                     79,                 0.9942,                  0.984,                 1.3811,                0.83286,                0.75749,                0.82337,                0.59698,                 1.1123,                0.92986,                 1.5361,              0.0012278,              0.0012278,              0.0012278
                     80,                   1.01,                 1.0167,                 1.3892,                0.87874,                0.71596,                 0.8376,                0.60287,                 1.1435,                0.93069,                 1.5658,              0.0012179,              0.0012179,              0.0012179
                     81,                0.99394,                0.99405,                 1.3792,                0.87915,                 0.7623,                0.82896,                0.59757,                 1.1578,                0.88557,                 1.5769,               0.001208,               0.001208,               0.001208
                     82,                0.98863,                0.99938,                 1.3905,                0.83896,                0.76647,                0.83786,                0.60943,                 1.1149,                0.87038,                  1.541,              0.0011981,              0.0011981,              0.0011981
                     83,                0.98663,                0.99972,                 1.3662,                0.90049,                 0.7006,                0.83819,                 0.6091,                 1.1159,                0.91914,                 1.5396,              0.0011882,              0.0011882,              0.0011882
                     84,                0.98707,                0.97469,                 1.3705,                0.85938,                 0.7515,                0.84083,                0.60944,                 1.1094,                0.86945,                 1.5399,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.0052,                0.98307,                 1.3931,                0.90822,                0.74066,                0.84819,                0.59843,                 1.1583,                0.83735,                 1.5828,              0.0011684,              0.0011684,              0.0011684
