                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4998,                 1.9296,                 1.8064,                0.56031,                0.53021,                0.53238,                0.27639,                 1.7041,                  1.835,                 2.2253,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.5085,                  1.947,                 1.7781,                0.53209,                0.50833,                0.50847,                0.24188,                 1.7331,                 1.9039,                 2.2499,              0.0013782,              0.0013782,              0.0013782
                     37,                  1.482,                 1.8902,                  1.755,                0.68241,                 0.3625,                0.41217,                0.19293,                 1.8594,                 2.0684,                 2.3253,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.4848,                 1.8726,                 1.7724,                 0.5815,                0.40521,                0.46156,                 0.2458,                 1.7526,                  1.877,                 2.2177,              0.0013617,              0.0013617,              0.0013617
                     39,                  1.477,                 1.9162,                 1.7867,                0.60735,                0.49265,                0.49864,                 0.2434,                  1.767,                 1.8232,                 2.2739,              0.0013534,              0.0013534,              0.0013534
                     40,                  1.479,                 1.8828,                 1.7591,                0.61269,                0.49599,                0.50609,                0.24872,                 1.7472,                 1.8757,                 2.2184,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.4582,                 1.9155,                 1.7685,                0.59276,                0.50313,                  0.474,                0.25165,                 1.7663,                 1.9715,                 2.2933,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.4512,                 1.8753,                 1.7545,                0.51092,                0.38646,                 0.3486,                0.17263,                 1.9539,                 2.2143,                 2.5243,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.4624,                 1.8318,                 1.7473,                 0.6253,                0.49479,                0.54166,                0.27079,                 1.7158,                 1.7642,                 2.2314,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.3933,                 1.8035,                 1.7007,                0.46747,                0.48229,                0.47736,                0.24244,                 1.7794,                 1.7881,                 2.3699,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.4582,                 1.8413,                 1.7388,                0.59096,                0.56042,                0.56172,                0.28344,                 1.6717,                 1.7967,                 2.1788,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.4418,                 1.8126,                 1.7366,                0.59515,                0.53021,                0.54182,                  0.264,                 1.7647,                 1.6935,                 2.2726,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.4525,                 1.7577,                 1.7485,                0.72273,                0.40937,                0.50383,                0.27005,                 1.7354,                 1.7584,                 2.2198,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.4425,                 1.7767,                 1.7299,                0.78858,                0.49375,                0.61086,                0.30823,                 1.7472,                 1.6302,                 2.2518,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.4055,                 1.7326,                 1.7124,                 0.5972,                0.60625,                 0.5281,                0.28269,                 1.7385,                 1.7632,                 2.2356,              0.0012709,              0.0012709,              0.0012709
                     50,                 1.4261,                 1.7658,                 1.7185,                 0.6599,                    0.5,                0.56603,                0.28479,                 1.6943,                 1.7134,                 2.1936,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.3913,                 1.6982,                 1.7045,                0.66832,                0.57292,                0.57179,                0.28892,                 1.6731,                 1.6301,                 2.1564,              0.0012544,              0.0012544,              0.0012544
                     52,                  1.401,                 1.6786,                 1.6865,                0.64527,                0.47026,                0.50786,                0.26202,                 1.7066,                 1.8464,                 2.2189,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.3715,                 1.6747,                 1.6777,                0.70557,                0.53646,                0.58859,                0.30177,                 1.6817,                 1.6338,                 2.1696,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.3844,                  1.683,                 1.6993,                0.67771,                0.54732,                0.59318,                0.29124,                 1.7509,                 1.6553,                 2.2507,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.3972,                 1.7272,                 1.6886,                0.67988,                0.58125,                0.61548,                0.31644,                 1.6707,                 1.6184,                 2.2066,              0.0012214,              0.0012214,              0.0012214
                     56,                 1.3508,                  1.658,                 1.6807,                0.63068,                0.53712,                0.55858,                0.29531,                  1.711,                 1.6571,                 2.1856,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.3461,                 1.6693,                 1.6534,                0.76437,                0.49896,                0.60494,                0.31658,                 1.6819,                 1.6643,                 2.1811,              0.0012049,              0.0012049,              0.0012049
                     58,                 1.3906,                 1.6451,                 1.6958,                0.70489,                0.53772,                0.61252,                0.30444,                 1.7368,                 1.6446,                 2.3004,              0.0011967,              0.0011967,              0.0011967
                     59,                 1.3569,                 1.6758,                 1.6856,                0.68141,                0.46771,                0.54383,                0.28536,                  1.641,                 1.6801,                 2.1649,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.3764,                 1.6679,                 1.6803,                0.55365,                0.54719,                0.56194,                0.28054,                 1.6992,                 1.6454,                 2.2067,              0.0011802,              0.0011802,              0.0011802
                     61,                 1.3674,                 1.6429,                 1.6673,                0.73676,                0.48021,                0.60781,                 0.3103,                 1.6558,                 1.5817,                 2.1574,              0.0011719,              0.0011719,              0.0011719
                     62,                  1.325,                 1.6364,                 1.6437,                0.73699,                0.53638,                 0.6049,                0.31496,                 1.6306,                  1.596,                 2.1453,              0.0011636,              0.0011636,              0.0011636
                     63,                 1.3168,                 1.6124,                 1.6618,                0.66694,                0.54533,                0.62016,                0.32574,                 1.6664,                 1.5325,                 2.2129,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.3443,                 1.5647,                 1.6373,                0.68015,                0.57083,                0.58721,                0.30377,                 1.7616,                 1.5409,                 2.2593,              0.0011471,              0.0011471,              0.0011471
                     65,                   1.34,                 1.5771,                 1.6479,                 0.7421,                0.57533,                0.65951,                0.33694,                 1.6062,                 1.5165,                 2.1069,              0.0011389,              0.0011389,              0.0011389
                     66,                 1.3219,                 1.5922,                 1.6408,                0.67485,                0.48333,                0.57366,                0.31405,                  1.634,                 1.7328,                 2.1233,              0.0011306,              0.0011306,              0.0011306
                     67,                 1.3344,                 1.5965,                 1.6676,                0.71917,                0.55564,                0.60361,                0.32655,                  1.671,                 1.5595,                 2.2062,              0.0011224,              0.0011224,              0.0011224
                     68,                  1.328,                 1.5909,                 1.6465,                0.65403,                0.51136,                0.59116,                0.31722,                 1.6827,                 1.7142,                  2.157,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.3325,                 1.5534,                 1.6356,                0.69835,                0.50313,                0.60636,                 0.3225,                 1.6413,                 1.5204,                 2.1408,              0.0011059,              0.0011059,              0.0011059
                     70,                 1.2922,                 1.5241,                 1.6201,                0.66622,                 0.5491,                0.59251,                0.30096,                 1.7189,                 1.5982,                 2.2214,              0.0010976,              0.0010976,              0.0010976
                     71,                 1.2761,                 1.5061,                 1.6019,                0.59728,                0.59731,                0.60799,                0.33312,                 1.6251,                 1.5382,                 2.1505,              0.0010894,              0.0010894,              0.0010894
                     72,                  1.334,                 1.5212,                 1.6275,                0.60153,                0.56795,                 0.5988,                0.32611,                  1.656,                 1.5451,                 2.2159,              0.0010811,              0.0010811,              0.0010811
                     73,                 1.2754,                 1.4965,                 1.5964,                 0.6926,                0.56242,                 0.6112,                0.32768,                 1.5792,                 1.5462,                  2.074,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.3016,                 1.5376,                 1.6262,                0.65471,                0.55656,                0.61149,                0.31119,                 1.6563,                 1.4843,                 2.1732,              0.0010646,              0.0010646,              0.0010646
                     75,                  1.319,                 1.4984,                 1.6135,                0.64617,                0.55835,                 0.6157,                0.33518,                 1.5272,                 1.5473,                 2.0337,              0.0010564,              0.0010564,              0.0010564
                     76,                 1.2555,                 1.4847,                 1.5852,                0.68674,                0.52269,                0.61159,                0.33908,                 1.5685,                 1.4998,                 2.0639,              0.0010481,              0.0010481,              0.0010481
                     77,                 1.2755,                 1.4997,                 1.6043,                0.61191,                0.60938,                 0.6193,                0.34148,                 1.5711,                 1.5921,                 2.0537,              0.0010399,              0.0010399,              0.0010399
                     78,                 1.2825,                  1.484,                  1.599,                0.68447,                0.60312,                0.65363,                0.33889,                 1.6239,                 1.4631,                 2.1075,              0.0010316,              0.0010316,              0.0010316
                     79,                 1.2627,                 1.4887,                 1.5891,                0.69422,                0.56875,                 0.6329,                0.34202,                 1.6074,                 1.4729,                 2.1233,              0.0010234,              0.0010234,              0.0010234
                     80,                 1.2704,                 1.4659,                 1.5945,                0.64518,                0.61573,                0.62171,                0.33701,                 1.6061,                 1.4555,                 2.1428,              0.0010151,              0.0010151,              0.0010151
                     81,                 1.2764,                 1.4423,                 1.6057,                0.72827,                0.53103,                0.60655,                 0.3107,                 1.6393,                 1.4726,                 2.1656,              0.0010069,              0.0010069,              0.0010069
                     82,                 1.2603,                 1.4187,                 1.5851,                0.72421,                0.59077,                  0.645,                0.36288,                 1.5737,                 1.5059,                 2.0577,             0.00099862,             0.00099862,             0.00099862
                     83,                 1.2497,                 1.4384,                 1.5759,                0.67695,                0.59979,                0.63375,                 0.3682,                 1.5618,                 1.4664,                 2.0721,             0.00099036,             0.00099036,             0.00099036
                     84,                 1.2529,                 1.4064,                 1.5631,                0.70901,                0.55772,                0.62998,                0.34734,                 1.5934,                 1.4055,                 2.1277,             0.00098211,             0.00098211,             0.00098211
                     85,                 1.2542,                 1.4113,                 1.5629,                0.80912,                0.54271,                0.66344,                0.35296,                 1.6325,                 1.4767,                 2.1302,             0.00097386,             0.00097386,             0.00097386
                     86,                 1.2155,                 1.3661,                 1.5452,                0.76137,                0.58646,                0.66539,                 0.3577,                 1.5584,                 1.3588,                 2.1099,             0.00096561,             0.00096561,             0.00096561
                     87,                 1.2369,                 1.3689,                  1.565,                0.71766,                0.56354,                0.63177,                0.32534,                 1.7137,                 1.4306,                 2.2609,             0.00095736,             0.00095736,             0.00095736
                     88,                 1.2273,                 1.3865,                 1.5582,                0.75216,                0.55054,                0.62265,                0.34351,                 1.6469,                 1.4834,                 2.1962,             0.00094911,             0.00094911,             0.00094911
                     89,                  1.234,                 1.3969,                 1.5553,                 0.7228,                0.58646,                0.61774,                 0.3488,                 1.5162,                 1.4567,                 2.0505,             0.00094085,             0.00094085,             0.00094085
                     90,                 1.2133,                 1.3716,                 1.5444,                 0.7556,                0.54267,                0.60995,                0.32782,                 1.6243,                 1.4853,                 2.1657,              0.0009326,              0.0009326,              0.0009326
                     91,                 1.2276,                 1.3521,                 1.5624,                0.79193,                0.56467,                0.65434,                0.37241,                 1.6035,                  1.459,                 2.1233,             0.00092435,             0.00092435,             0.00092435
                     92,                 1.2049,                  1.307,                 1.5444,                0.79738,                0.58542,                0.67087,                0.36792,                 1.6111,                 1.3961,                 2.1469,              0.0009161,              0.0009161,              0.0009161
