                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.305,                 1.8223,                 1.6516,                0.56793,                0.56067,                0.59105,                0.32102,                 1.5636,                 1.6356,                 2.0645,             0.00092402,             0.00092402,             0.00092402
                     36,                 1.2784,                 1.7862,                 1.6418,                0.58217,                0.55926,                 0.6218,                  0.334,                 1.5948,                 1.5551,                 2.0796,             0.00091852,             0.00091852,             0.00091852
                     37,                 1.2993,                 1.8035,                 1.6478,                0.65038,                0.55703,                0.61087,                0.35254,                 1.5236,                 1.5658,                 1.9539,             0.00091302,             0.00091302,             0.00091302
                     38,                 1.2952,                 1.7599,                 1.6364,                0.58821,                0.54901,                0.58794,                0.31579,                 1.6145,                 1.6344,                 2.0943,             0.00090752,             0.00090752,             0.00090752
                     39,                 1.2529,                 1.7174,                 1.6099,                0.54172,                0.56503,                  0.568,                0.33735,                   1.51,                 1.5389,                 2.0345,             0.00090202,             0.00090202,             0.00090202
                     40,                 1.2268,                 1.7294,                 1.5955,                0.55158,                0.55853,                0.58685,                0.34396,                 1.5074,                 1.5793,                 2.0114,             0.00089652,             0.00089652,             0.00089652
                     41,                 1.2619,                 1.6878,                 1.6148,                0.69329,                0.57256,                 0.6383,                0.37206,                 1.4894,                 1.5413,                  1.984,             0.00089102,             0.00089102,             0.00089102
                     42,                 1.2187,                 1.6609,                 1.5831,                0.68927,                0.52402,                0.62096,                0.35546,                 1.5677,                 1.5272,                 2.0225,             0.00088552,             0.00088552,             0.00088552
                     43,                 1.2473,                 1.6735,                 1.5979,                0.74975,                0.60666,                0.66497,                0.36884,                 1.5803,                   1.45,                 2.0802,             0.00088002,             0.00088002,             0.00088002
                     44,                 1.2211,                 1.6696,                 1.5764,                 0.7241,                0.58333,                0.65537,                0.36771,                 1.5659,                 1.5258,                 2.0378,             0.00087452,             0.00087452,             0.00087452
                     45,                 1.2308,                 1.6958,                 1.6055,                0.75107,                0.61083,                0.66423,                0.39598,                 1.5056,                 1.3453,                 1.9817,             0.00086902,             0.00086902,             0.00086902
                     46,                 1.2199,                  1.623,                 1.5901,                0.71749,                0.60555,                0.62922,                0.37813,                 1.4573,                 1.4477,                  1.921,             0.00086352,             0.00086352,             0.00086352
                     47,                  1.177,                 1.5858,                 1.5579,                0.62715,                0.62847,                0.63075,                0.36736,                 1.4877,                 1.4516,                 1.9802,             0.00085803,             0.00085803,             0.00085803
                     48,                 1.2179,                 1.5905,                  1.578,                0.67024,                0.60231,                0.63215,                0.36338,                 1.5219,                 1.5171,                 2.0022,             0.00085253,             0.00085253,             0.00085253
                     49,                 1.2198,                 1.6241,                  1.574,                0.80985,                0.60042,                0.68141,                0.38557,                 1.5087,                 1.4256,                 1.9824,             0.00084703,             0.00084703,             0.00084703
                     50,                 1.1721,                 1.5582,                 1.5449,                0.77626,                0.60538,                  0.706,                0.40493,                 1.5088,                 1.3242,                 2.0025,             0.00084153,             0.00084153,             0.00084153
                     51,                 1.1615,                 1.5014,                 1.5271,                0.64146,                0.64123,                0.67463,                0.38083,                 1.5416,                 1.4441,                 2.0014,             0.00083603,             0.00083603,             0.00083603
                     52,                 1.1942,                 1.5136,                 1.5635,                0.67224,                0.60464,                0.64022,                0.37597,                 1.5374,                 1.4637,                 2.0202,             0.00083053,             0.00083053,             0.00083053
                     53,                 1.1881,                 1.5583,                 1.5667,                0.74591,                0.63339,                0.68373,                0.38777,                  1.507,                 1.3896,                 1.9843,             0.00082503,             0.00082503,             0.00082503
                     54,                 1.1459,                 1.4741,                 1.5234,                 0.6303,                0.58222,                0.63617,                0.38152,                 1.4973,                 1.4328,                 1.9613,             0.00081953,             0.00081953,             0.00081953
                     55,                 1.1904,                 1.5185,                 1.5409,                0.78043,                0.61944,                0.70009,                0.41618,                 1.4555,                  1.373,                 1.9305,             0.00081403,             0.00081403,             0.00081403
                     56,                 1.1408,                 1.4915,                 1.5235,                0.69787,                0.65877,                0.67959,                0.40748,                 1.5049,                 1.3275,                  1.958,             0.00080853,             0.00080853,             0.00080853
                     57,                 1.1696,                  1.452,                 1.5354,                0.77245,                0.55047,                0.61789,                0.37099,                 1.5284,                 1.4829,                 2.0013,             0.00080303,             0.00080303,             0.00080303
                     58,                 1.1573,                 1.4767,                 1.5149,                0.78748,                0.55801,                0.63692,                0.38031,                 1.4783,                 1.4173,                 1.9822,             0.00079753,             0.00079753,             0.00079753
                     59,                 1.1174,                 1.3665,                   1.48,                 0.6664,                0.63424,                0.65714,                0.38959,                 1.4995,                 1.3838,                 1.9572,             0.00079203,             0.00079203,             0.00079203
                     60,                 1.1258,                 1.4284,                 1.4981,                0.72255,                0.62456,                0.66193,                0.39493,                 1.4584,                  1.427,                 1.9505,             0.00078653,             0.00078653,             0.00078653
                     61,                 1.1536,                 1.4275,                 1.5141,                0.70383,                0.58993,                0.63285,                 0.3722,                 1.4505,                 1.4011,                 1.9387,             0.00078103,             0.00078103,             0.00078103
                     62,                 1.1258,                 1.4148,                 1.4961,                0.67968,                0.61568,                0.64554,                0.39312,                 1.4531,                 1.4366,                 1.9286,             0.00077553,             0.00077553,             0.00077553
                     63,                 1.1011,                 1.4169,                 1.4887,                0.64636,                0.60483,                0.64224,                 0.3783,                 1.4862,                 1.3927,                 1.9763,             0.00077003,             0.00077003,             0.00077003
                     64,                 1.1215,                 1.4281,                  1.493,                0.72264,                0.65356,                0.68145,                0.38395,                 1.5726,                 1.3203,                 2.0175,             0.00076453,             0.00076453,             0.00076453
                     65,                  1.107,                 1.3672,                  1.478,                0.82244,                 0.6117,                0.68758,                0.39654,                 1.4675,                 1.3253,                 1.9539,             0.00075904,             0.00075904,             0.00075904
                     66,                 1.0609,                 1.3628,                 1.4667,                0.78885,                0.63753,                0.72524,                0.43116,                 1.4164,                 1.2888,                  1.897,             0.00075354,             0.00075354,             0.00075354
                     67,                  1.099,                 1.3716,                 1.4862,                0.75608,                0.57061,                0.67803,                0.39688,                 1.4431,                 1.3599,                 1.9255,             0.00074804,             0.00074804,             0.00074804
                     68,                 1.1035,                 1.3534,                 1.4771,                0.76532,                0.61187,                0.67428,                0.41147,                 1.4736,                 1.3332,                  1.966,             0.00074254,             0.00074254,             0.00074254
                     69,                 1.0811,                 1.3478,                 1.4585,                0.80442,                0.55448,                0.65146,                0.40244,                  1.479,                 1.3903,                 1.9744,             0.00073704,             0.00073704,             0.00073704
                     70,                 1.0732,                 1.2864,                  1.468,                0.71784,                0.66818,                0.67208,                0.40182,                 1.4611,                 1.2992,                 1.9195,             0.00073154,             0.00073154,             0.00073154
                     71,                 1.0909,                 1.3393,                 1.4606,                 0.8854,                0.63438,                0.73525,                0.43807,                 1.4759,                 1.2227,                 1.9805,             0.00072604,             0.00072604,             0.00072604
                     72,                 1.0716,                 1.2904,                 1.4573,                0.75547,                0.64803,                0.69143,                0.41843,                 1.4568,                 1.3289,                 1.9668,             0.00072054,             0.00072054,             0.00072054
                     73,                 1.0836,                 1.2856,                 1.4802,                 0.6093,                 0.6506,                0.64104,                0.39168,                  1.483,                 1.3745,                 1.9997,             0.00071504,             0.00071504,             0.00071504
                     74,                 1.0732,                 1.2787,                 1.4711,                0.73564,                0.66089,                0.71865,                0.42069,                 1.4704,                 1.3095,                 1.9402,             0.00070954,             0.00070954,             0.00070954
                     75,                 1.0601,                 1.2546,                 1.4543,                0.80701,                0.59976,                0.69852,                0.43376,                 1.4057,                  1.266,                 1.8854,             0.00070404,             0.00070404,             0.00070404
                     76,                 1.0429,                 1.2305,                 1.4241,                0.73487,                0.61791,                0.66456,                0.41241,                 1.4406,                 1.3372,                 1.8977,             0.00069854,             0.00069854,             0.00069854
                     77,                 1.0495,                 1.2425,                   1.45,                0.73942,                0.64428,                0.68277,                 0.4267,                 1.4427,                 1.3079,                 1.9145,             0.00069304,             0.00069304,             0.00069304
                     78,                 1.0442,                 1.2178,                 1.4363,                0.71087,                0.61325,                0.68858,                0.41095,                 1.4616,                 1.3485,                 1.9745,             0.00068754,             0.00068754,             0.00068754
                     79,                0.99624,                 1.2189,                 1.4007,                0.77969,                0.61005,                0.70269,                0.40588,                 1.4742,                 1.2384,                 1.9872,             0.00068204,             0.00068204,             0.00068204
                     80,                 1.0136,                 1.1611,                 1.4211,                0.80604,                0.59233,                0.69463,                0.43267,                 1.4351,                 1.2365,                 1.8987,             0.00067654,             0.00067654,             0.00067654
                     81,                  1.021,                 1.2408,                 1.4245,                0.81011,                0.61169,                 0.6935,                0.44168,                 1.3926,                 1.2474,                 1.9067,             0.00067104,             0.00067104,             0.00067104
                     82,                 1.0023,                 1.2051,                 1.4137,                0.82233,                0.61476,                0.72044,                0.43195,                 1.3957,                 1.2663,                 1.8895,             0.00066554,             0.00066554,             0.00066554
                     83,                0.99723,                 1.1878,                 1.3998,                0.78517,                0.64122,                0.71641,                0.43253,                 1.4613,                 1.2489,                 1.9452,             0.00066005,             0.00066005,             0.00066005
                     84,                 1.0066,                 1.1877,                 1.4204,                0.73778,                0.68927,                0.71154,                0.44335,                 1.4234,                 1.1743,                 1.9285,             0.00065455,             0.00065455,             0.00065455
                     85,                 1.0089,                 1.1709,                 1.4149,                0.76451,                  0.641,                0.69327,                0.42733,                 1.3998,                  1.226,                 1.9053,             0.00064905,             0.00064905,             0.00064905
                     86,                0.98537,                 1.1256,                 1.3994,                 0.7396,                0.62703,                0.68559,                0.42019,                 1.4982,                 1.2348,                 2.0529,             0.00064355,             0.00064355,             0.00064355
                     87,                0.97976,                 1.1252,                 1.3994,                0.77468,                0.64674,                0.70099,                0.43276,                 1.4329,                  1.247,                 1.9345,             0.00063805,             0.00063805,             0.00063805
                     88,                0.98378,                 1.1347,                 1.3804,                0.78045,                0.63443,                0.70068,                0.42018,                 1.4565,                 1.2201,                 1.9469,             0.00063255,             0.00063255,             0.00063255
                     89,                 0.9736,                  1.101,                  1.388,                0.76633,                0.67151,                 0.7173,                0.40874,                 1.4752,                 1.2432,                 1.9899,             0.00062705,             0.00062705,             0.00062705
